model,modbus_address,parameter,unit,register_length,data_type,r_w,data_range,industry_standard,indb,setupRead,setupWrite,timestamp,read_command,write_command,value_weight,address
acurev-1313-5a-x0,4205,total_watt_hours_exported_in_phase_a,Wh,2,acc32,r,"[0, 999999999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4207,total_watt_hours_exported_in_phase_b,Wh,2,acc32,r,"[0, 999999999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4209,total_watt_hours_exported_in_phase_c,Wh,2,acc32,r,"[0, 999999999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4211,total_real_energy_imported,Wh,2,acc32,r,"[0, 999999999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4213,total_watt_hours_imported_phase_a,Wh,2,acc32,r,"[0, 999999999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4215,total_watt_hours_imported_phase_b,Wh,2,acc32,r,"[0, 999999999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4217,total_watt_hours_imported_phase_c,Wh,2,acc32,r,"[0, 999999999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4220,total_va_hours_exported,VAh,2,acc32,r,"[0, 999999999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4222,total_va_hours_exported_phase_a,VAh,2,acc32,r,"[0, 999999999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4224,total_va_hours_exported_phase_b,VAh,2,acc32,r,"[0, 999999999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4226,total_va_hours_exported_phase_c,VAh,2,acc32,r,"[0, 999999999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4228,total_va_hours_imported,VAh,2,acc32,r,"[0, 999999999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4230,total_va_hours_imported_phase_a,VAh,2,acc32,r,"[0, 999999999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4232,total_va_hours_imported_phase_b,VAh,2,acc32,r,"[0, 999999999]",sunspec,f,f,f,f,3,,,
acurev-1313-5a-x0,4234,total_va_hours_imported_phase_c,VAh,2,acc32,r,"[0, 999999999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4237,total_var_hours_imported_q1,VARh,2,bitfield32,r,"[0, 999999999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4239,total_var_hours_imported_q1_phase_a,VARh,2,acc32,r,"[0, 999999999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4241,total_var_hours_imported_q1_phase_b,VARh,2,acc32,r,"[0, 999999999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4243,total_var_hours_imported_q1_phase_c,VARh,2,acc32,r,"[0, 999999999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4245,total_var_hours_imported_q2,VARh,2,acc32,r,"[0, 999999999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4247,total_var_hours_imported_q2_phase_a,VARh,2,acc32,r,"[0, 999999999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4249,total_var_hours_imported_q2_phase_b,VARh,2,acc32,r,"[0, 999999999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4251,total_var_hours_imported_q2_phase_c,VARh,2,acc32,r,"[0, 999999999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4253,total_var_hours_exported_q3,VARh,2,acc32,r,"[0, 999999999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4255,total_var_hours_exported_q3_phase_a,VARh,2,acc32,r,"[0, 999999999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4257,total_var_hours_exported_q3_phase_b,VARh,2,acc32,r,"[0, 999999999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4259,total_var_hours_exported_q3_phase_c,VARh,2,acc32,r,"[0, 999999999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4261,total_var_hours_exported_q4,VARh,2,acc32,r,"[0, 999999999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4263,total_var_hours_exported_q4_phase_a,VARh,2,acc32,r,"[0, 999999999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4265,total_var_hours_exported_q4_phase_b,VARh,2,acc32,r,"[0, 999999999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,4267,total_var_hours_exported_q4_phase_c,VARh,2,acc32,r,"[0, 999999999]",sunspec,t,f,f,f,3,,,
acurev-1313-5a-x0,5632,Input_active_power_total_max_demand ,,2,Float ,r,,none,t,f,f,f,3,,,
acurev-1313-5a-x0,5634,Input_active_power_total_max_demand_occur_time,,3,Dword,r,,none,t,f,f,t,3,,,
acurev-1313-5a-x0,5637,Input_active_power_rate1_max_demand_and_occur_time,,2,Float ,r,,none,t,f,f,f,3,,,
acurev-1313-5a-x0,5639,Input_active_power_rate1_max_demand_occur_time,,3,Dword,r,,none,t,f,f,t,3,,,
